Name,IFC_Mapping
Building,IfcBuilding
Wall,IfcWall
Compartment,IfcSpace
AccessRoad,IfcCivilElement
Door,IfcDoor
Floor,IfcBuildingStorey
Staircase,IfcStair
TechnicalRoom,IfcSpace
Room,IfcSpace
EvacuationRoute,IfcSpace
UndergroundFloor,IfcBuildingStorey
EvacuationLevel,IfcBuildingStorey
Pipe,IfcFlowSegment
ElectricalConduit,IfcElectricFlowSegment
ExpansionJoint,IfcBuildingElementProxy
StructuralElement,IfcStructuralMember
Roof,IfcRoof
SuspendedCeiling,IfcCovering
CeilingVoid,IfcSpace
CeilingVoidCompartment,IfcSpace
CeilingVoidSeparationScreen,IfcBuildingElementProxy
CurtainWall,IfcCurtainWall
Facade,IfcWall
DoubleSkinnedFacade,IfcCurtainWall
FacadeSpandrel,IfcBuildingElementProxy
FacadeSpandrelClosure,IfcBuildingElementProxy
FacadeVentilationOpening,IfcOpeningElement
Landing,IfcSlab
Handrail,IfcRailing
ExternalStaircase,IfcStair
EscapeBalcony,IfcSlab
RetractableStair,IfcStair
EscapeTerrace,IfcSlab
DisplayWindow,IfcWindow
Elevator,IfcTransportElement
BoilerRoom,IfcSpace
FuelStorageRoom,IfcSpace
Airlock,IfcSpace
ElectricalRoom,IfcSpace
TransformerRoom,IfcSpace
PrefabElectricalPost,IfcSpace
WasteStorageRoom,IfcSpace
VerticalShaft,IfcSpace
HorizontalShaft,IfcSpace
ShaftWall,IfcWall
ShaftHatch,IfcDoor
VentilationFlap,IfcFlowController
GasPipe,IfcFlowSegment
ShaftBarrier,IfcBuildingElementProxy
Parking,IfcSpace
Ramp,IfcRamp
OpenParking,IfcSpace
UndergroundRoom,IfcSpace
ShoppingComplex,IfcBuilding
Gallery,IfcSpace
SeparationWall,IfcWall
ShopUnit,IfcSpace
Kitchen,IfcSpace
Restaurant,IfcSpace
TransportSystem,IfcTransportElement
FryingEquipment,IfcElectricalAppliance
ElevatorShaft,IfcSpace
MachineRoom,IfcSpace
LandingWall,IfcWall
ElevatorDoor,IfcDoor
OilHydraulicElevator,IfcTransportElement
Escalator,IfcTransportElement
ElevatorLobby,IfcSpace
ElevatorCar,IfcTransportElement
ElectricalSystem,IfcElectricalSystem
SafetyLighting,IfcLightFixture
GasInstallation,IfcDistributionSystem
AeraulicSystem,IfcDistributionSystem
AirDuct,IfcFlowSegment
AirHandlingUnit,IfcUnitaryEquipment
SmokeDetector,IfcSensorType
SmokeValve,IfcFlowController
Insulation,IfcCovering
FlexibleDuct,IfcFlowSegment
DuctSuspension,IfcMechanicalFastener
ExhaustDuct,IfcFlowSegment
Shaft,IfcSpace
FireDamper,IfcFlowController
InspectionDoor,IfcDoor
CentralFireControlPanel,IfcDistributionControlElement
FireExtinguisher,IfcFireSuppressionTerminal
FireAlarmDevice,IfcAlarmType
CommunicationDevice,IfcCommunicationsApplianceType
Telephone,IfcCommunicationsApplianceType
FireHoseReel,IfcFireSuppressionTerminal
FireHydrant,IfcFireSuppressionTerminal
WaterSupplySystem,IfcDistributionSystem
