Name,Type:
Amount of storeys,Numeric
Area,Numeric
Compartmentation,Boolean
Distance,Numeric
Elevation,Numeric
Fire reaction,Numeric
Fire resistance,Numeric
Handrail,Reference
Has active fire protection?,Boolean
Has nighttime occupancy?,Boolean
Height,Numeric
Height of building
Is Classroom?,Boolean
Is External?,Boolean
Is Fire Exit?,Boolean
Is Load Bearing?,Boolean
Is Parking?,Boolean
Length,Numeric
Material,Reference
Number of exits,Numeric
Occupancy,Numeric
Riser height,Numeric
Self-closing,Boolean
Slope,Numeric
Swing Direction,Enumeration
Tread length,Numeric
Useful Width,Numeric
Volume,Numeric
Width,Numeric
