Name,IFC_Mapping
SectionNumber,Firebim.SectionNumber
BuildingHeight,"Pset_BuildingCommon.BuildingHeight,Pset_BuildingCommon.BuildingHeight,Pset_BuildingCommon.NumberOfStoreys"
FirePreventionMeasures,Firebim.FirePreventionMeasures
OccupantSafety,Firebim.OccupantSafety
FirefighterAccessibility,Firebim.FirefighterAccessibility
IndustrialActivity,Firebim.IndustrialActivity
TotalAreaIndustrialActivity,Firebim.TotalAreaIndustrialActivity
NonIndustrialActivity,Firebim.NonIndustrialActivity
NightOccupancy,Firebim.NightOccupancy
BuildingExtension,Firebim.BuildingExtension
ApplicationDate,Firebim.ApplicationDate
BuildingType,Pset_BuildingCommon.OccupancyType
NumberOfStoreys,Pset_BuildingCommon.NumberOfStoreys
TotalFloorArea,Pset_BuildingCommon.GrossFloorArea
IsIndustrialBuilding,Firebim.IsIndustrialBuilding
IsSingleFamilyHouse,Firebim.IsSingleFamilyHouse
FireResistanceRating,"Pset_BeamCommon.FireRating,Pset_BeamCommon.FireRating,Pset_WallCommon.FireRating,Pset_WallCommon.FireRating,Pset_CurtainWallCommon.FireRating,Pset_FireRatingProperties.FireResistanceRating,Pset_FireRatingProperties.FireResistanceRating,Pset_DoorCommon.FireRating,Pset_FireRatingProperties.FireResistanceRating,Pset_DoorCommon.FireRating,Pset_WindowCommon.FireRating,Pset_DoorCommon.FireRating,Pset_DoorCommon.FireRating,Pset_FireRatingProperties.FireResistanceRating,Pset_FireRatingProperties.FireResistanceRating,Pset_FireRatingProperties.FireResistanceRating,Pset_FireRatingProperties.FireResistanceRating,Pset_DoorCommon.FireRating,Pset_WallCommon.FireRating,Pset_DoorCommon.FireRating,Pset_DoorCommon.FireRating,Pset_DoorCommon.FireRating,Pset_FireRatingProperties.FireResistanceRating,Pset_DuctSegmentTypeCommon.FireRating,Pset_FireRatingProperties.FireResistanceRating,Pset_FireRatingProperties.FireResistanceRating"
Location,"Firebim.CentralFireControlPanelLocation,Firebim.DuctLocation,Firebim.DuctLocation,Firebim.StructuralElementLocation,Firebim.WallLocation,Firebim.WallLocation,Firebim.FireDamperLocation,Firebim.FireExtinguisherLocation,Firebim.FireHoseReelLocation"
IsExternal,Pset_WallCommon.IsExternal
CompartmentType,Firebim.CompartmentType
AccessRoadsDetermination,Firebim.AccessRoadsDetermination
FireDepartmentApproval,Firebim.FireDepartmentApproval
FireVehicleApproachDistance,Firebim.FireVehicleApproachDistance
AccessibleFacade,Firebim.AccessibleFacade
MinimumWidth,"Firebim.MinimumWidth,Firebim.MinimumWidth,Pset_TransportElementCommon.CapacityCar"
MinimumInnerTurningRadius,Firebim.MinimumInnerTurningRadius
MinimumOuterTurningRadius,Firebim.MinimumOuterTurningRadius
MinimumClearanceHeight,Firebim.MinimumClearanceHeight
