TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
AreaFireCompartment,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,524,"AreaSubCompartment (https://www.notion.so/AreaSubCompartment-22cf8487e6e78068b436c0ba5a61f185?pvs=21), AreaBuildingFunctionalFireUnit (https://www.notion.so/AreaBuildingFunctionalFireUnit-2bdf8487e6e780539322d98e4b56de7c?pvs=21), AreaFireCompartment (https://www.notion.so/AreaFireCompartment-151f8487e6e7800fa26cdd6dd0fb5b2a?pvs=21)",,,,,,,,,,,,NA,,,"November 12, 2025 1:08 PM",Depends on the chosen entity (and if a single entity is modelled or information is derived indirectly from other properties),,,,m2,Number,NA,,,No,Area of Fire Compartment,Area of Fire Compartment,,,Area of the Fire Compartment - calculated according to local regulation,,explicit (calculation/formula),,,,,,,,,,,
ReactionToFire,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,526,,,,,Explicit definition,,NA,NA,NA,"(this content has copy right, will be removed after WIP stage) “response of a https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.428 when it is exposed to https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.138 under specified conditions in a https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.180Note 1 to entry: https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.165 is regarded as a special case and is not normally considered as a “reaction to fire” property. “ https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.364",,NA,NA,NA,NA,"November 12, 2025 4:18 PM",,,,,,Number,NA,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Fire Reaction,Fire Reaction,,,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.364,,
FireResistance,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,522,FireResistance (https://www.notion.so/FireResistance-151f8487e6e780b2b4c2dc16842781bd?pvs=21),,,,Explicit definition,,NA,NA," NA","(this content has copy right, will be removed after WIP stage)  “ability of a https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.428 to withstand https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.138 or give protection from it for a period of timeNote 1 to entry: Typical criteria used to assess fire resistance in a standard https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.180 are https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.157, https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.179and https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.435.Note 2 to entry: “Fire resistant” (adj.) refers only to this ability.Note 3 to entry: The term ""fireproof"" has been used to describe buildings with https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.315 structural elements and high levels of fire resistance, but this is a deprecated term. The term is often misunderstood to mean an absolute or unconditional property, and therefore the use of the term ""fireproof"" is inappropriate and misleading.” https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.165",,NA,NA,NA,NA,"November 12, 2025 4:14 PM","According to buildingSMART, it’s a string which takes the form according to local regulations. It’s NOT a number",,Pset_*Common.FireRating,property,,Number,NA,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Fire Resistance,Fire Resistance,"Beware of distinction between minimal required, specified and provided values",,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.165,,
ActiveFireProtection,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,529,ActiveFireProtection (https://www.notion.so/ActiveFireProtection-222f8487e6e7805a8988d633b5d8aa19?pvs=21),,,,Explicit definition,,NA,NA,"method(s) used to reduce or prevent the spread and effects of https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.138, heat or https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.389 by virtue of detection and/or suppression of the fire and which require a certain amount of motion and/or response to be activated
EXAMPLE:The application of agents (e.g. halon gas or water spray) to the fire or the control of ventilation and/or smoke.
Note 1 to entry: Compare with the terms https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.328 and https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.418.","method(s) used to reduce or prevent the spread and effects of https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.138, heat or https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.389 by virtue of detection and/or suppression of the fire and which require a certain amount of motion and/or response to be activated
EXAMPLE:The application of agents (e.g. halon gas or water spray) to the fire or the control of ventilation and/or smoke.
Note 1 to entry: Compare with the terms https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.328 and https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.418.",,NA,NA,NA,NA,"December 11, 2025 2:23 PM",,,"Pset_SpaceCommon.SprinklerProtection, Pset_SpaceCommon.SprinklerProtectionAutomatic
Pset_SpaceFireSafetyRequirements.SprinklerProtection,
Pset_SpaceFireSafetyRequirements.SprinklerProtectionAutomatic",,,Boolean (yes/no),NA,,,No,Active Fire Protection,Active Fire Protection,Either directly provided as property or inferred from availability of e.g. sprinkler system in that area/zone,,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.6,,
ExteriorWall,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,523,,,,,Explicit definition,,NA,NA,NA,"(this content has copy right, will be removed after WIP stage) “wall, bearing or non-bearing, that is used as an enclosing wall for a building, other than a fire wall, and that has a slope of 60° or greater with the horizontal planeNote 1 to entry: The exterior wall contains an https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.130 which, in turn, includes an https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.131.” https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.129",,NA,NA,NA,NA,"November 12, 2025 4:13 PM",,,Pset_*Common.IsExternal,,,Boolean (yes/no),NA,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Exterior Wall,Exterior Wall,,,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.129,,
HeightBuilding,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,525,,,,,,,,,,,,,NA,,,"November 12, 2025 4:14 PM",,,,,m,Number,,,,No,Height of building,Height of building,,,Distance from a reference point to the highest finished/useable floor. The reference point is defined differently in each country.,,explicit (calculation/formula),,,,,,,,,,,
TeachingZone,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,528,,,,,Explicit definition,,NA,NA,NA,"(this content has copy right, will be removed after WIP stage) https://www.iso.org/obp/ui/#iso:std:iso:6707:-4:ed-1:v1:en:term:3.1.9 where a group of pupils or students are taught or study together https://www.iso.org/obp/ui/#iso:std:iso:6707:-4:ed-1:v1:en:terms:3.3.23",,NA,NA,NA,NA,"November 21, 2025 12:34 PM","PredefinedType = USERDEFINED, Need an ObjectType value e.g., “EDUCATION” or “TEACHING”, but that’s a string, not a Boolean",,Pset_SpaceOccupancyRequirements.OccupancyType,,,Boolean (yes/no),NA,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Teaching Zone,Teaching Zone,,,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:6707:-4:ed-1:v1:en:terms:3.3.23,,
Exit,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,519,,,,,Explicit definition,,NA,NA,NA,"(this content has copy right, will be removed after WIP stage)“ designated point of departure from a building or from an https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.106https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.120",,NA,NA,NA,NA,"November 12, 2025 4:13 PM",,,"Pset_SpaceFireSafetyRequirements.FireExit, Pset_*Common.FireExit",,,Boolean (yes/no),NA,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Exit,Exit,,,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.120,,
TravelDistance,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,521,,,,,Explicit definition,,NA,NA,,"(this content has copy right, will be removed after WIP stage)  “<escape from fire> distance that needs to be travelled by a person from any point within a https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.36 to the nearest https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.120, having regard to the layout of walls, partitions and fittings “https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.456",,NA,NA,NA,NA,"November 12, 2025 4:17 PM","The quantity exists for IfcSpatialZone, but unclear how to measure it",,Qto_SpatialZoneBaseQuantities.Length,,m,Number,NA,Length (evacuation),ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Travel Distance,Travel Distance,The “length” of a compartment is not defined in a clear way,,,,explicit (calculation/formula),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.456,,
SwingDirection,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,182,,,,,,,,,,,,,NA,,,"November 12, 2025 4:15 PM",,,,,,Enumeration (choice),,,,No,Swing Direction,,Needed to derive whether the door swings open in the direction of the escape route,,,,explicit (calculation/formula),,,,,,,,,,,
